date,unit_sales,day_of_week,is_holiday,locale,holiday_type,dcoilwtico,oil_lag_7,month,month_name,year,is_national_holiday,before_1,before_2,after_1,cpi,min_wage,day_of_month,ALLSKY_SFC_SW_DWN,PRECTOTCORR,T2M,T2M_MAX,T2M_MIN,is_sunny,is_rainy,solar_7d
2013-01-02,582.0,Wednesday,0,,Non-holiday,93.14,,1,January,2013,0,0.0,0.0,0.0,142.6060661088859,318.0,2,11.06,1.39,16.96,22.68,12.76,0,0,11.06
2013-01-03,310.0,Thursday,0,,Non-holiday,92.97,,1,January,2013,0,0.0,1.0,0.0,142.6060661088859,318.0,3,10.07,5.78,17.28,22.8,13.33,0,1,10.565000000000001
2013-01-04,338.0,Friday,0,,Non-holiday,93.12,,1,January,2013,0,1.0,0.0,0.0,142.6060661088859,318.0,4,12.94,3.32,17.31,22.0,13.09,0,0,11.356666666666667
2013-01-05,654.0,Saturday,1,National,National,93.12,,1,January,2013,1,0.0,0.0,0.0,142.6060661088859,318.0,5,12.09,5.53,17.78,24.14,12.52,0,1,11.54
2013-01-06,979.0,Sunday,0,,Non-holiday,93.12,,1,January,2013,0,0.0,0.0,1.0,142.6060661088859,318.0,6,14.05,5.57,18.02,24.36,13.64,0,1,12.042
2013-01-07,541.0,Monday,0,,Non-holiday,93.2,,1,January,2013,0,0.0,0.0,0.0,142.6060661088859,318.0,7,14.88,0.7,18.28,24.6,14.45,0,0,12.515
2013-01-08,434.0,Tuesday,0,,Non-holiday,93.21,,1,January,2013,0,0.0,0.0,0.0,142.6060661088859,318.0,8,16.8,0.2,18.16,24.72,12.76,1,0,13.127142857142857
2013-01-09,593.0,Wednesday,0,,Non-holiday,93.08,93.14,1,January,2013,0,0.0,0.0,0.0,142.6060661088859,318.0,9,12.12,0.57,17.87,23.55,13.36,0,0,13.278571428571428
2013-01-10,700.0,Thursday,0,,Non-holiday,93.81,92.97,1,January,2013,0,0.0,1.0,0.0,142.6060661088859,318.0,10,12.59,0.96,18.05,23.35,13.76,0,0,13.638571428571428
2013-01-11,726.0,Friday,0,,Non-holiday,93.6,93.12,1,January,2013,0,1.0,0.0,0.0,142.6060661088859,318.0,11,14.97,6.92,18.21,24.28,14.05,0,1,13.928571428571429
2013-01-12,631.0,Saturday,1,National,National,93.6,93.12,1,January,2013,1,0.0,0.0,0.0,142.6060661088859,318.0,12,13.82,28.43,16.71,19.87,15.02,0,1,14.175714285714287
2013-01-13,679.0,Sunday,0,,Non-holiday,93.6,93.12,1,January,2013,0,0.0,0.0,1.0,142.6060661088859,318.0,13,15.61,8.56,17.01,20.49,14.13,1,1,14.39857142857143
2013-01-14,683.0,Monday,0,,Non-holiday,94.27,93.2,1,January,2013,0,0.0,0.0,0.0,142.6060661088859,318.0,14,18.01,2.81,16.97,20.55,14.12,1,0,14.845714285714285
2013-01-15,547.0,Tuesday,0,,Non-holiday,93.26,93.21,1,January,2013,0,0.0,0.0,0.0,142.6060661088859,318.0,15,18.21,6.27,17.51,22.75,13.83,1,1,15.047142857142857
2013-01-16,265.0,Wednesday,0,,Non-holiday,94.28,93.08,1,January,2013,0,0.0,0.0,0.0,142.6060661088859,318.0,16,15.67,10.93,16.77,20.56,14.17,1,1,15.554285714285713
2013-01-17,4.0,Thursday,0,,Non-holiday,95.49,93.81,1,January,2013,0,0.0,0.0,0.0,142.6060661088859,318.0,17,14.06,8.51,17.13,22.01,13.95,0,1,15.764285714285716
2013-01-18,60.0,Friday,0,,Non-holiday,95.61,93.6,1,January,2013,0,0.0,0.0,0.0,142.6060661088859,318.0,18,10.19,0.84,17.1,21.92,13.9,0,0,15.081428571428571
2013-01-19,667.0,Saturday,0,,Non-holiday,95.61,93.6,1,January,2013,0,0.0,0.0,0.0,142.6060661088859,318.0,19,16.88,1.95,17.2,22.34,13.66,1,0,15.518571428571429
2013-01-20,1090.0,Sunday,0,,Non-holiday,95.61,93.6,1,January,2013,0,0.0,0.0,0.0,142.6060661088859,318.0,20,16.12,1.62,17.8,24.39,12.52,1,0,15.59142857142857
2013-01-21,760.0,Monday,0,,Non-holiday,95.61,94.27,1,January,2013,0,0.0,0.0,0.0,142.6060661088859,318.0,21,14.76,0.75,17.67,21.73,14.54,0,0,15.127142857142857
2013-01-22,461.0,Tuesday,0,,Non-holiday,96.09,93.26,1,January,2013,0,0.0,0.0,0.0,142.6060661088859,318.0,22,12.95,0.62,17.19,21.05,14.23,0,0,14.375714285714286
2013-01-23,413.0,Wednesday,0,,Non-holiday,95.06,94.28,1,January,2013,0,0.0,0.0,0.0,142.6060661088859,318.0,23,11.44,1.17,17.3,22.25,13.6,0,0,13.771428571428572
2013-01-24,326.0,Thursday,0,,Non-holiday,95.35,95.49,1,January,2013,0,0.0,0.0,0.0,142.6060661088859,318.0,24,13.26,8.28,16.67,20.12,13.99,0,1,13.657142857142857
2013-01-25,389.0,Friday,0,,Non-holiday,95.15,95.61,1,January,2013,0,0.0,0.0,0.0,142.6060661088859,318.0,25,14.66,5.71,16.16,19.67,13.53,0,1,14.295714285714286
2013-01-26,697.0,Saturday,0,,Non-holiday,95.15,95.61,1,January,2013,0,0.0,0.0,0.0,142.6060661088859,318.0,26,12.27,4.57,17.29,22.68,13.74,0,0,13.637142857142857
2013-01-27,616.0,Sunday,0,,Non-holiday,95.15,95.61,1,January,2013,0,0.0,0.0,0.0,142.6060661088859,318.0,27,15.09,1.96,17.57,23.5,13.21,0,0,13.49
2013-01-28,318.0,Monday,0,,Non-holiday,95.95,95.61,1,January,2013,0,0.0,0.0,0.0,142.6060661088859,318.0,28,11.66,0.21,17.64,23.22,14.19,0,0,13.047142857142857
2013-01-29,393.0,Tuesday,0,,Non-holiday,97.62,96.09,1,January,2013,0,0.0,0.0,0.0,142.6060661088859,318.0,29,17.41,0.04,18.0,23.95,13.38,1,0,13.684285714285712
2013-01-30,487.0,Wednesday,0,,Non-holiday,97.98,95.06,1,January,2013,0,0.0,0.0,0.0,142.6060661088859,318.0,30,13.67,1.43,18.07,23.24,14.74,0,0,14.002857142857142
2013-01-31,282.0,Thursday,0,,Non-holiday,97.65,95.35,1,January,2013,0,0.0,0.0,0.0,142.6060661088859,318.0,31,13.53,0.89,17.66,23.95,13.45,0,0,14.041428571428572
2013-02-01,401.0,Friday,0,,Non-holiday,97.46,95.15,2,February,2013,0,0.0,0.0,0.0,142.6060661088859,318.0,1,13.42,6.88,16.81,21.65,14.2,0,1,13.864285714285714
2013-02-02,775.0,Saturday,0,,Non-holiday,97.46,95.15,2,February,2013,0,0.0,0.0,0.0,142.6060661088859,318.0,2,12.17,4.66,16.63,20.61,14.18,0,0,13.849999999999998
2013-02-03,855.0,Sunday,0,,Non-holiday,97.46,95.15,2,February,2013,0,0.0,0.0,0.0,142.6060661088859,318.0,3,12.02,5.81,17.32,22.66,14.03,0,1,13.411428571428571
