-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2013 through 03/31/2014 in LST
Location: latitude  -0.1807   longitude -78.4678 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1862.95 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_SW_DWN,PRECTOTCORR,T2M,T2M_MAX,T2M_MIN
2013,1,9.75,2.48,17.24,23.21,12.79
2013,2,11.06,1.39,16.96,22.68,12.76
2013,3,10.07,5.78,17.28,22.8,13.33
2013,4,12.94,3.32,17.31,22.0,13.09
2013,5,12.09,5.53,17.78,24.14,12.52
2013,6,14.05,5.57,18.02,24.36,13.64
2013,7,14.88,0.7,18.28,24.6,14.45
2013,8,16.8,0.2,18.16,24.72,12.76
2013,9,12.12,0.57,17.87,23.55,13.36
2013,10,12.59,0.96,18.05,23.35,13.76
2013,11,14.97,6.92,18.21,24.28,14.05
2013,12,13.82,28.43,16.71,19.87,15.02
2013,13,15.61,8.56,17.01,20.49,14.13
2013,14,18.01,2.81,16.97,20.55,14.12
2013,15,18.21,6.27,17.51,22.75,13.83
2013,16,15.67,10.93,16.77,20.56,14.17
2013,17,14.06,8.51,17.13,22.01,13.95
2013,18,10.19,0.84,17.1,21.92,13.9
2013,19,16.88,1.95,17.2,22.34,13.66
2013,20,16.12,1.62,17.8,24.39,12.52
2013,21,14.76,0.75,17.67,21.73,14.54
2013,22,12.95,0.62,17.19,21.05,14.23
2013,23,11.44,1.17,17.3,22.25,13.6
2013,24,13.26,8.28,16.67,20.12,13.99
2013,25,14.66,5.71,16.16,19.67,13.53
2013,26,12.27,4.57,17.29,22.68,13.74
2013,27,15.09,1.96,17.57,23.5,13.21
2013,28,11.66,0.21,17.64,23.22,14.19
2013,29,17.41,0.04,18.0,23.95,13.38
2013,30,13.67,1.43,18.07,23.24,14.74
2013,31,13.53,0.89,17.66,23.95,13.45
2013,32,13.42,6.88,16.81,21.65,14.2
2013,33,12.17,4.66,16.63,20.61,14.18
2013,34,12.02,5.81,17.32,22.66,14.03
2013,35,7.23,19.05,16.03,18.73,14.47
2013,36,10.49,5.14,16.23,18.96,14.44
2013,37,11.3,13.85,16.73,21.47,13.91
2013,38,12.51,8.15,16.7,20.74,13.98
2013,39,12.48,5.39,15.88,18.92,14.29
2013,40,11.6,5.25,15.52,18.17,13.67
2013,41,12.28,18.01,16.51,20.47,14.19
2013,42,13.62,15.12,16.12,19.41,14.01
2013,43,11.79,6.33,16.3,20.8,13.28
2013,44,12.32,10.72,16.4,20.87,14.06
2013,45,11.61,4.19,16.47,20.8,13.8
2013,46,15.21,5.6,17.3,22.5,14.27
2013,47,9.87,8.61,16.6,21.73,13.37
2013,48,9.23,8.11,15.92,20.38,13.28
2013,49,13.22,3.99,16.64,20.33,13.73
2013,50,11.17,1.38,17.17,22.52,12.45
2013,51,11.34,0.81,17.23,22.7,12.91
2013,52,12.98,1.13,17.56,22.96,13.84
2013,53,11.47,9.63,17.27,21.49,14.46
2013,54,11.85,1.73,18.11,23.25,14.69
2013,55,13.05,0.91,17.95,24.06,13.47
2013,56,12.62,3.9,17.68,22.2,15.06
2013,57,12.07,7.52,17.46,21.32,14.21
2013,58,11.37,16.07,17.9,23.47,13.36
2013,59,13.51,3.18,17.47,22.42,14.43
2013,60,11.03,0.78,17.09,21.59,13.98
2013,61,13.49,7.86,17.59,21.91,14.39
2013,62,13.12,8.86,17.66,21.9,14.96
2013,63,12.97,7.68,17.99,24.57,13.82
2013,64,13.16,0.45,17.82,23.19,13.78
2013,65,13.31,5.41,17.69,22.9,13.9
2013,66,12.81,1.87,17.98,22.49,15.19
2013,67,12.7,0.13,18.85,25.84,14.06
2013,68,12.13,1.59,18.17,23.7,15.05
2013,69,14.18,6.45,18.05,22.72,14.79
2013,70,14.99,4.12,18.15,22.99,14.86
2013,71,12.35,3.1,18.4,23.77,15.13
2013,72,12.99,4.79,17.85,23.25,13.75
2013,73,11.67,4.53,17.54,21.44,15.24
2013,74,11.94,4.42,17.45,22.71,14.39
2013,75,11.37,5.61,17.46,20.63,15.72
2013,76,12.21,21.03,17.52,22.55,14.41
2013,77,9.28,11.76,16.89,19.89,15.06
2013,78,12.99,5.71,17.41,22.27,14.09
2013,79,15.07,5.65,17.59,22.13,14.06
2013,80,11.81,5.41,17.17,20.81,15.3
2013,81,15.02,8.79,17.58,22.82,13.75
2013,82,14.37,0.85,17.62,22.15,15.1
2013,83,16.03,8.42,17.45,22.38,14.53
2013,84,16.17,6.44,18.15,23.28,15.34
2013,85,11.06,2.34,17.03,20.32,15.12
2013,86,14.03,0.86,17.42,22.76,14.42
2013,87,14.88,2.14,17.3,22.15,14.12
2013,88,14.13,1.21,17.96,22.87,14.54
2013,89,13.52,0.43,17.73,23.07,13.53
2013,90,14.26,6.59,18.72,25.31,13.62
2013,91,10.72,2.88,18.59,23.93,13.77
2013,92,10.88,0.6,18.04,21.94,14.84
2013,93,14.56,1.24,18.69,24.9,14.74
